cohorte,n_municipios,att,se,ic_inf,ic_sup,significativo
2002,2,-18.937963457677867,34.128516635809035,-175.23436092209607,137.3584340067403,FALSE
2007,1,1.1862405272714331,1.6913133507326354,-6.559369588863005,8.931850643405872,FALSE
2010,2,-16.460422648196886,26.41882770172942,-137.44920276649222,104.52835747009844,FALSE
2011,3,15.328550151140982,34.08714830940196,-140.77839517694343,171.43549547922538,FALSE
2012,3,-0.04852978898054708,1.5035169059913398,-6.934099368255175,6.837039790294081,FALSE
2013,6,-543.188760370389,337.05768403225403,-2086.792378251235,1000.4148575104568,FALSE
2014,10,56.005604414218865,91.17502523882165,-361.5433953159131,473.5546041443508,FALSE
2015,8,-30.036699898266924,28.752790672000554,-161.71419549639,101.64079569985614,FALSE
2016,7,128.61859608376284,124.55545054512794,-441.8008104349147,699.0380026024404,FALSE
2017,11,-265.4751928673257,348.9784346961384,-1863.6715844019136,1332.7211986672623,FALSE
2018,6,42.820977129582964,1331.0475980598553,-6052.900868927459,6138.542823186625,FALSE
2019,7,159.85069865001418,288.7099635376959,-1162.3376547013622,1482.0390520013907,FALSE
2020,2,-3.4076922522020294,7.564323709553987,-38.049588871215335,31.234204366811273,FALSE
2021,5,21.787648283003126,70.2188735822751,-299.7896734633405,343.36497002934675,FALSE
2022,8,48.871739438660406,82.0356588416902,-326.8222316002973,424.56571047761815,FALSE
2023,3,-4.553940469618963,3.4578885963931856,-20.389833257367037,11.281952318129113,FALSE
2024,2,-73.84578382128154,94.95484584863758,-508.7050097965274,361.0134421539643,FALSE
