covariable,smd_principal,smd_sin_tempranas
distance,0.001954372173819315,-0.0035184793416265917
log_defor_pre_media,0.05455981388386409,0.0014534903207332691
defor_pre_tendencia,-0.02414363968867674,-0.028039003839988277
log_baseline_forest,0.12676133245779997,0.09706219096274382
temp_media_c_base,-0.007332076229275561,-0.04723635355291315
prec_anual_mm_base,-0.013562794287438206,-0.003703535154630671
altura_base,-0.04308029091814751,0.028877059825560204
discapital_base,0.029312265042670926,0.04221487335059163
disbogota_base,0.06782147275331253,0.0790623874138977
distancia_mercado_base,0.1541827228793586,0.1379012071075601
H_coca_base,0.06697105062835736,0.04395441776970132
homicidios_base,-0.0875998590561217,-0.09782961673945038
o_desplaza_base,-0.012503980860712709,-0.012654761831426069
