grupo,outcome,n_municipios,n_con_outcome,n_tratados,att,se,ic_inf,ic_sup
Andina,loss_area_ha,629,629,51,-11.572096705475113,37.548529959286256,-85.16721542567618,62.023022014725946
Caribe,loss_area_ha,197,197,9,67.13431875392847,46.543743696358376,-24.09141889093395,158.3600563987909
Pacífica,loss_area_ha,178,178,21,-51.591291247774876,97.62514797220028,-242.93658127328743,139.75399877773768
Orinoquía,loss_area_ha,59,59,9,-223.1413416379348,223.3472227548713,-660.9018982374826,214.61921496161293
Amazonía,loss_area_ha,58,58,9,-1119.1448784546228,702.3298332018568,-2495.711351530262,257.42159462101654
