covariable,media_tratados_antes,media_tratados_despues,media_controles_antes,media_controles_despues,dif_estandarizada_antes,dif_estandarizada_despues,razon_varianzas_antes,razon_varianzas_despues,ecdf_media_antes,ecdf_media_despues,ecdf_max_antes,ecdf_max_despues,mejora_abs
distance,0.21555122223028456,0.20936002851591304,0.07598867808196513,0.20854120408172075,0.7810871768837035,0.0045826999612943965,4.30938765453019,1.0098385453389367,0.2975222000798479,0.004310313738924619,0.48518452628041664,0.03061224489795922,0.7765044769224092
log_defor_pre_media,4.818099107930928,4.817288016823975,3.712621762068086,4.881407791938162,0.712675477574667,-0.04133652446384335,0.9554998555507953,1.002433013985178,0.19624253785696394,0.02702766518624946,0.3309612761667556,0.0945732486879818,0.6713389531108236
defor_pre_tendencia,0.18281889901414247,0.18553336397737968,-0.031983890043113576,0.20821003251769882,0.3578390861870383,-0.037776969209050625,0.8789321028878478,1.0923616257213347,0.08943168228270962,0.0354714399651631,0.19386625551009104,0.10289884163850734,0.3200621169779877
log_baseline_forest,11.03362409763795,11.043785752037463,9.645867293584036,10.901960993487448,0.8130350123632267,0.08308984253169165,1.316372563062641,1.6013311432153465,0.24455554637795338,0.0221779306773217,0.371681590859673,0.10522661445530597,0.7299451698315351
temp_media_c_base,20.759033914035072,20.803733134869876,19.525832168563436,20.777986267522397,0.25097192693702647,0.005239808437278468,0.953419633591452,1.447067598452614,0.07110457917698619,0.05934288081245491,0.1658364466583644,0.16825751816096646,0.245732118499748
prec_anual_mm_base,2903.3250917495875,2915.8790080854637,1862.2683462623452,2825.539498350244,0.6013089100488193,0.05217962648885742,2.75372720721228,1.465123959296985,0.21041366073135792,0.033111662403630115,0.3968945818260886,0.08776602902728582,0.5491292835599618
altura_base,924.1313131313132,918.5102040816327,1152.8346379647749,935.6389655141197,-0.24835321593156337,-0.018600442253213334,1.0067762916530838,1.2065470469827155,0.08743119686457179,0.055064737181969324,0.22425823795686814,0.18679745813598422,0.22975277367835004
discapital_base,93.50017837373737,94.4542618265306,80.15939011066537,89.87403491714558,0.1880316047494446,0.06455596167972898,1.433859483649755,1.1065536794699729,0.07037293311518418,0.02180693536879688,0.14266935499812206,0.05914533630525603,0.12347564306971563
disbogota_base,350.06037188888894,350.93507956122454,318.6562500410959,348.7888046695696,0.17829669213349364,0.01218546136860523,0.8055521109979211,1.1625826602876754,0.06803567493281866,0.03696058344041066,0.1919290754907193,0.11146138543201019,0.1661112307648884
distancia_mercado_base,107.68692344444445,108.78576960204082,64.66959711369863,95.35463471259192,0.2888226740050507,0.09017799627682963,2.425522558792237,1.2641458638866274,0.08097199189223568,0.05831441404193779,0.1869378718693786,0.12619258720252802,0.19864467772822106
H_coca_base,228.6539393939394,230.98714285714289,111.82127201565558,210.15032681032352,0.11323334321593416,0.020194885522192035,1.8219244202346407,2.3526601182928544,0.07154275962495128,0.06978896914133881,0.17191484314771976,0.14921532635987977,0.09303845769374212
homicidios_base,64.32323232323232,45.3469387755102,15.901174168297455,66.55503532693422,0.19029315428784402,-0.08334539552818088,11.195327571227812,0.32176646620876365,0.09421719689230662,0.030011567937850595,0.20699163849848773,0.11783106116768897,0.10694775875966314
o_desplaza_base,1119.5656565656566,1084.857142857143,559.9285714285714,1161.8076666158856,0.28178371276956743,-0.038745474272831495,1.896806041743377,0.8645457253893534,0.17716496040281834,0.02266861400810585,0.28698926644132117,0.08797415453460085,0.24303823849673595
