cohorte,n_municipios,att,se,ic_inf,ic_sup,significativo
2002,3,-6.5613182357636894,23.17673188844871,-59.57740024991547,46.454763778388084,FALSE
2007,1,1.2208833180795688,1.7401097492848676,-2.759565764463037,5.201332400622174,FALSE
2008,2,28.32841244021456,4.804253145192073,17.338826851178453,39.31799802925067,TRUE
2009,1,0.016407721177633228,0.18804546338124792,-0.4137406602677328,0.4465561026229993,FALSE
2010,5,4.79126640702107,55.505861886146754,-122.17673495682875,131.7592677708709,FALSE
2011,4,13.774386116385262,29.054760567620637,-52.687510952124185,80.2362831848947,FALSE
2012,3,-0.13073789735689673,1.598805886188935,-3.7879586131536223,3.526482818439829,FALSE
2013,7,-546.6017099509274,320.4445444024189,-1279.6090350903842,186.4056151885294,FALSE
2014,11,54.95983207972738,82.92527122980486,-134.72924926811652,244.6489134275713,FALSE
2015,7,-8.937490614574779,23.140702380488616,-61.87115620530087,43.996174976151316,FALSE
2016,7,134.7552385647122,155.89665129931086,-221.85369537800554,491.3641725074299,FALSE
2017,12,-259.65629710472376,189.96652980436505,-694.1990606196935,174.88646641024593,FALSE
2018,9,51.30439297576939,861.193855447918,-1918.6508315253138,2021.2596174768526,FALSE
2019,6,125.89278994127707,368.6631547272076,-717.4131662515732,969.1987461341274,FALSE
2020,2,-3.056493632327629,8.474729182792439,-22.442183537407782,16.329196272752522,FALSE
2021,4,26.973921099840737,79.60097395396933,-155.1109295107543,209.05877171043576,FALSE
2022,8,48.9732685376424,85.4326772646017,-146.45142923029834,244.3979663055831,FALSE
2023,3,-4.630067677518069,3.322814875200997,-12.230907467587826,2.970772112551689,FALSE
2024,1,-205.71396280030734,12.634792942941084,-234.61567431506333,-176.81225128555135,TRUE
