grupo,outcome,n_municipios,n_con_outcome,n_tratados,att,se,ic_inf,ic_sup
Capacidad fiscal alta,tasa_deforestacion,500,500,44,2.1937561581047665e-4,6.02586334987895e-4,-9.616936007657975e-4,0.0014004448323867507
Capacidad fiscal baja,tasa_deforestacion,502,502,31,-5.952940366972891e-5,4.893073371840295e-4,-0.0010185717845504268,8.995129772109689e-4
