lb,ub,method,Delta,Mbar
-326.26183676285996,1.6731376244249532,C-LF,DeltaRM,0
-744.5462428690906,309.5304605186109,C-LF,DeltaRM,0.5
-1233.1024292011682,794.7403716018384,C-LF,DeltaRM,1
-1671.464486800498,1283.2965579339161,C-LF,DeltaRM,1.5
-1671.464486800498,1671.464486800498,C-LF,DeltaRM,2
